,Frac Reads,Worst Reads,OTUs
0.0,1.0,0.9999999999999987,441.0
0.05,0.7259057081963001,0.5836004640121585,29.0
0.1,0.5262537292816658,0.2784146738894941,15.0
0.15,0.5017602443697761,0.27841168898250357,12.0
0.2,0.3273758699113064,0.08541357343361716,7.0
0.25,0.16103146714399053,0.0601627221048614,3.0
0.3,0.09285407043998126,0.003312243456735219,2.0
0.35,0.08734458029824718,0.0,1.0
0.4,0.08734458029824718,0.0,1.0
0.45,0.08734458029824718,0.0,1.0
0.5,0.0,0.0,0.0
0.55,0.0,0.0,0.0
0.6,0.0,0.0,0.0
0.65,0.0,0.0,0.0
0.7,0.0,0.0,0.0
0.75,0.0,0.0,0.0
0.8,0.0,0.0,0.0
0.85,0.0,0.0,0.0
0.9,0.0,0.0,0.0
0.95,0.0,0.0,0.0
1.0,0.0,0.0,0.0
